epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
72,1428.58,0.68345,0.44177,0.00945,0.81493,0.78338,0.7969,0.61706,0.93009,0.89,0.01739,0.000198166,0.000198166,0.000198166
73,1448.3,0.68651,0.44272,0.00996,0.85933,0.71697,0.77934,0.58443,0.96204,1.0019,0.01803,0.000191562,0.000191562,0.000191562
74,1467.75,0.68462,0.44214,0.00937,0.83667,0.73225,0.7815,0.59794,0.97467,0.90918,0.01822,0.000184959,0.000184959,0.000184959
75,1487.36,0.68288,0.43535,0.00971,0.77323,0.80454,0.80369,0.61073,0.93636,0.86233,0.01716,0.000178356,0.000178356,0.000178356
76,1507.26,0.66546,0.42711,0.00941,0.79084,0.78224,0.80293,0.6242,0.92372,0.8595,0.01703,0.000171752,0.000171752,0.000171752
77,1527.23,0.65932,0.40539,0.00951,0.80632,0.74984,0.79554,0.61872,0.9332,0.81623,0.01686,0.000165149,0.000165149,0.000165149
78,1547.16,0.67156,0.4251,0.00962,0.83772,0.7478,0.78284,0.60183,0.92985,0.87109,0.01732,0.000158546,0.000158546,0.000158546
79,1566.83,0.64067,0.39862,0.00914,0.80951,0.75551,0.80586,0.63262,0.90798,0.81408,0.01659,0.000151943,0.000151943,0.000151943
80,1586.59,0.65137,0.41588,0.00897,0.80888,0.76209,0.79589,0.62148,0.93117,0.86491,0.01691,0.000145339,0.000145339,0.000145339
81,1606.23,0.63374,0.39358,0.00896,0.76578,0.7863,0.80253,0.62654,0.90554,0.83489,0.0165,0.000138736,0.000138736,0.000138736
82,1625.83,0.63613,0.38823,0.00905,0.8549,0.71675,0.80198,0.61618,0.94283,0.8159,0.01749,0.000132133,0.000132133,0.000132133
83,1645.42,0.6267,0.39089,0.00868,0.82363,0.73997,0.79733,0.61011,0.92828,0.80619,0.01742,0.000125529,0.000125529,0.000125529
84,1664.99,0.61009,0.36485,0.00861,0.76997,0.78245,0.79807,0.61821,0.93003,0.82291,0.01741,0.000118926,0.000118926,0.000118926
85,1684.58,0.60458,0.3718,0.0084,0.79358,0.79025,0.80606,0.62569,0.92764,0.83744,0.01724,0.000112323,0.000112323,0.000112323
86,1704.36,0.61071,0.38563,0.0087,0.80121,0.77105,0.80001,0.609,0.95599,0.84777,0.01792,0.00010572,0.00010572,0.00010572
87,1723.88,0.61549,0.378,0.00852,0.76225,0.78849,0.79892,0.61607,0.92784,0.8642,0.01719,9.91162e-05,9.91162e-05,9.91162e-05
88,1743.51,0.59978,0.38468,0.00854,0.82456,0.72369,0.79472,0.61616,0.92441,0.85272,0.01698,9.25129e-05,9.25129e-05,9.25129e-05
89,1763.05,0.60853,0.36207,0.00847,0.84446,0.7239,0.79637,0.62089,0.93829,0.8438,0.01737,8.59096e-05,8.59096e-05,8.59096e-05
90,1782.67,0.58888,0.36447,0.00835,0.83352,0.74562,0.80603,0.61673,0.96156,0.87028,0.01793,7.93063e-05,7.93063e-05,7.93063e-05
91,1816.48,0.49484,0.22214,0.00935,0.76172,0.7902,0.80176,0.61798,0.95913,0.83816,0.01795,7.2703e-05,7.2703e-05,7.2703e-05
92,1835.99,0.47871,0.20909,0.00843,0.74779,0.75669,0.79168,0.61196,0.95048,0.86504,0.01783,6.60997e-05,6.60997e-05,6.60997e-05
93,1855.71,0.46569,0.19555,0.00821,0.77267,0.76858,0.79156,0.61464,0.94634,0.85976,0.01756,5.94964e-05,5.94964e-05,5.94964e-05
94,1875.45,0.46081,0.19754,0.00802,0.84462,0.71522,0.78686,0.61503,0.93054,0.87991,0.01709,5.28931e-05,5.28931e-05,5.28931e-05
95,1895.27,0.45653,0.20585,0.008,0.79182,0.75402,0.7952,0.61876,0.9249,0.86739,0.01695,4.62898e-05,4.62898e-05,4.62898e-05
96,1914.93,0.44997,0.18296,0.00778,0.83956,0.72191,0.78538,0.61472,0.92232,0.8807,0.01685,3.96865e-05,3.96865e-05,3.96865e-05
97,1934.59,0.45192,0.20025,0.00783,0.84797,0.71727,0.78548,0.6113,0.92505,0.87237,0.01702,3.30832e-05,3.30832e-05,3.30832e-05
98,1954.2,0.44526,0.18948,0.00785,0.83533,0.72144,0.78366,0.61063,0.92037,0.87794,0.01689,2.64799e-05,2.64799e-05,2.64799e-05
99,1973.91,0.43882,0.18969,0.00773,0.85134,0.71415,0.78516,0.61108,0.92409,0.87874,0.01698,1.98766e-05,1.98766e-05,1.98766e-05
